cache_mode,schedule_mode,checkpoint_progress,checkpoint_index,block,inner_step,checkpoint_type,variant,removed_components,exact_intermediate,exact_final,checkpoint_bytes,full_checkpoint_bytes,export_to_cpu_ms,notes
dual,threshold,0.017094017094017096,2,0,2,inner_step,no_inner_step,inner_step,False,False,80218929,80218937,15.51577999634901,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
dual,threshold,0.017094017094017096,2,0,2,inner_step,no_cache_state,past_key_values,True,True,2873,80218937,5.143432004842907,
dual,threshold,0.017094017094017096,2,0,2,inner_step,no_replace_position,replace_position,True,True,80218784,80218937,16.850089996296447,
dual,threshold,0.017094017094017096,2,0,2,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position,True,True,1232,80218937,5.700585003069136,
dual,threshold,0.02564102564102564,3,0,3,inner_step,full,,True,True,80218937,80218937,17.84939599747304,
dual,threshold,0.02564102564102564,3,0,3,inner_step,no_attention_mask,attention_mask,True,True,80217713,80218937,19.05491300567519,
dual,threshold,0.02564102564102564,3,0,3,inner_step,no_current_schedule,current_schedule,True,True,80218681,80218937,15.33714199467795,
dual,threshold,0.02564102564102564,3,0,3,inner_step,no_block_index,block_index,True,True,80218929,80218937,17.759255999408197,
dual,threshold,0.02564102564102564,3,0,3,inner_step,no_inner_step,inner_step,False,False,80218929,80218937,15.235920996929053,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
dual,threshold,0.02564102564102564,3,0,3,inner_step,no_cache_state,past_key_values,True,True,2873,80218937,5.322931996488478,
dual,threshold,0.02564102564102564,3,0,3,inner_step,no_replace_position,replace_position,True,True,80218784,80218937,16.837375005707145,
dual,threshold,0.02564102564102564,3,0,3,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position,True,True,1232,80218937,5.262917999061756,
dual,threshold,0.09401709401709402,11,0,11,inner_step,full,,True,True,80218937,80218937,17.787048003810924,
dual,threshold,0.09401709401709402,11,0,11,inner_step,no_attention_mask,attention_mask,True,True,80217713,80218937,18.792016002407763,
dual,threshold,0.09401709401709402,11,0,11,inner_step,no_current_schedule,current_schedule,True,True,80218681,80218937,15.226222996716388,
dual,threshold,0.09401709401709402,11,0,11,inner_step,no_block_index,block_index,True,True,80218929,80218937,17.71311899938155,
dual,threshold,0.09401709401709402,11,0,11,inner_step,no_inner_step,inner_step,False,False,80218929,80218937,15.146843004913535,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
dual,threshold,0.09401709401709402,11,0,11,inner_step,no_cache_state,past_key_values,True,True,2873,80218937,5.341916999896057,
dual,threshold,0.09401709401709402,11,0,11,inner_step,no_replace_position,replace_position,True,True,80218784,80218937,16.948454998782836,
