attention_mask_length,attention_mask_tokens,block_index,block_ranges,block_size,cache_mode,experiment_batch_size,has_past_key_values,mask_counts,memory_after_bytes,memory_before_bytes,memory_peak_bytes,memory_peak_delta_bytes,memory_peak_delta_mb,memory_peak_mb,model_batch_size,model_call_index,model_call_latency_ms,model_query_length,num_blocks,past_length,phase,prompt_lens,record_index,sequence_length,step_index,steps_per_block,use_cache
153,153,1,"[[0, 32]]",32,prefix,1,True,[10],16378256384,16271924224,16379829248,107905024,102.90625,15621.0224609375,1,41,32.301480998285115,96,4,57,refine,[25],41,153,9,32,True
153,153,1,"[[0, 32]]",32,prefix,1,True,[9],16378256384,16270571520,16379829248,109257728,104.1962890625,15621.0224609375,1,42,32.252568984404206,96,4,57,refine,[25],42,153,10,32,True
153,153,1,"[[0, 32]]",32,prefix,1,True,[8],16378256384,16271924224,16379829248,107905024,102.90625,15621.0224609375,1,43,32.281313004205,96,4,57,refine,[25],43,153,11,32,True
153,153,1,"[[0, 32]]",32,prefix,1,True,[7],16378256384,16270571520,16379829248,109257728,104.1962890625,15621.0224609375,1,44,32.31224202318117,96,4,57,refine,[25],44,153,12,32,True
153,153,1,"[[0, 32]]",32,prefix,1,True,[6],16378256384,16271924224,16379829248,107905024,102.90625,15621.0224609375,1,45,32.26911000092514,96,4,57,refine,[25],45,153,13,32,True
153,153,1,"[[0, 32]]",32,prefix,1,True,[5],16378256384,16270571520,16379829248,109257728,104.1962890625,15621.0224609375,1,46,32.31256199069321,96,4,57,refine,[25],46,153,14,32,True
153,153,1,"[[0, 32]]",32,prefix,1,True,[4],16378256384,16271924224,16379829248,107905024,102.90625,15621.0224609375,1,47,32.31510799378157,96,4,57,refine,[25],47,153,15,32,True
153,153,2,"[[89, 121]]",32,prefix,1,False,[32],16392101376,16270573056,16394608128,124035072,118.2890625,15635.11669921875,1,48,37.781571998493746,153,4,,warmup,[25],48,153,0,32,True
153,153,3,"[[121, 153]]",32,prefix,1,False,[32],16392101376,16272171520,16394608128,122436608,116.7646484375,15635.11669921875,1,49,39.143875997979194,153,4,,warmup,[25],49,153,0,32,True
153,306,0,"[[25, 57], [25, 57]]",32,prefix,2,False,"[32, 32]",16286005248,16044308480,16291018752,246710272,235.28125,15536.326171875,2,0,73.29838699661195,153,4,,warmup,"[25, 25]",0,153,0,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[31, 31]",16512600064,16286009344,16516941824,230932480,220.234375,15751.783203125,2,1,63.439515011850744,128,4,25,refine,"[25, 25]",1,153,1,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[30, 30]",16738097664,16512604672,16742439424,229834752,219.1875,15966.83447265625,2,2,63.879205990815535,128,4,25,refine,"[25, 25]",2,153,2,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[29, 29]",16738277888,16511506944,16742472192,230965248,220.265625,15966.86572265625,2,3,63.791118998778984,128,4,25,refine,"[25, 25]",3,153,3,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[26, 26]",16738966016,16512784896,16743209472,230424576,219.75,15967.56884765625,2,4,63.87325399555266,128,4,25,refine,"[25, 25]",4,153,4,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[25, 25]",16739375616,16512195072,16743569920,231374848,220.65625,15967.91259765625,2,5,63.928969990229234,128,4,25,refine,"[25, 25]",5,153,5,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[24, 24]",16738916864,16513194496,16743258624,230064128,219.40625,15967.61572265625,2,6,63.50856597418897,128,4,25,refine,"[25, 25]",6,153,6,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[23, 23]",16738802176,16511736320,16743143936,231407616,220.6875,15967.50634765625,2,7,63.836385001195595,128,4,25,refine,"[25, 25]",7,153,7,32,True
153,306,0,"[[0, 32], [0, 32]]",32,prefix,2,True,"[22, 22]",16739375616,16513079808,16743619072,230539264,219.859375,15967.95947265625,2,8,63.947404007194564,128,4,25,refine,"[25, 25]",8,153,8,32,True
