attention_mask_length,attention_mask_tokens,block_index,block_ranges,block_size,cache_mode,experiment_batch_size,has_past_key_values,mask_counts,memory_after_bytes,memory_before_bytes,memory_peak_bytes,memory_peak_delta_bytes,memory_peak_delta_mb,memory_peak_mb,model_batch_size,model_call_index,model_call_latency_ms,model_query_length,num_blocks,past_length,phase,prompt_lens,record_index,replace_position_count,sequence_length,step_index,steps_per_block,use_cache
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[20, 20]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,10,47.58820397546515,32,4,153,refine,"[25, 25]",10,64,153,10,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[19, 19]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,11,47.6788459927775,32,4,153,refine,"[25, 25]",11,64,153,11,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[18, 18]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,12,47.69718999159522,32,4,153,refine,"[25, 25]",12,64,153,12,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[17, 17]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,13,47.689986997283995,32,4,153,refine,"[25, 25]",13,64,153,13,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[16, 16]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,14,47.795474994927645,32,4,153,refine,"[25, 25]",14,64,153,14,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[15, 15]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,15,47.709562990348786,32,4,153,refine,"[25, 25]",15,64,153,15,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[14, 14]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,16,47.64528200030327,32,4,153,refine,"[25, 25]",16,64,153,16,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[13, 13]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,17,47.64927001087926,32,4,153,refine,"[25, 25]",17,64,153,17,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[12, 12]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,18,47.60714998701587,32,4,153,refine,"[25, 25]",18,64,153,18,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[11, 11]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,19,47.710104001453146,32,4,153,refine,"[25, 25]",19,64,153,19,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[10, 10]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,20,47.96982501284219,32,4,153,refine,"[25, 25]",20,64,153,20,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[9, 9]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,21,48.97863999940455,32,4,153,refine,"[25, 25]",21,64,153,21,32,True
