batch_size,end_ms,latency_ms,memory_mb,oom,operation_index,phase,policy,request_ids,start_ms
4,14050.95807664735,110.4224417504156,467.0625,False,237,warmup,current_memory_admission,"20,21,22,23",13940.535634896934
4,14104.762078305397,53.804001658047525,46.439453125,False,238,refine,current_memory_admission,"20,21,22,23",14050.95807664735
4,14158.566079963444,53.804001658047525,46.439453125,False,239,refine,current_memory_admission,"20,21,22,23",14104.762078305397
4,14212.370081621491,53.804001658047525,46.439453125,False,240,refine,current_memory_admission,"20,21,22,23",14158.566079963444
4,14266.174083279539,53.804001658047525,46.439453125,False,241,refine,current_memory_admission,"20,21,22,23",14212.370081621491
4,14319.978084937586,53.804001658047525,46.439453125,False,242,refine,current_memory_admission,"20,21,22,23",14266.174083279539
4,14373.782086595633,53.804001658047525,46.439453125,False,243,refine,current_memory_admission,"20,21,22,23",14319.978084937586
4,14427.58608825368,53.804001658047525,46.439453125,False,244,refine,current_memory_admission,"20,21,22,23",14373.782086595633
4,14481.390089911727,53.804001658047525,46.439453125,False,245,refine,current_memory_admission,"20,21,22,23",14427.58608825368
4,14535.194091569774,53.804001658047525,46.439453125,False,246,refine,current_memory_admission,"20,21,22,23",14481.390089911727
4,14588.998093227821,53.804001658047525,46.439453125,False,247,refine,current_memory_admission,"20,21,22,23",14535.194091569774
4,14699.420534978237,110.4224417504156,467.0625,False,248,warmup,current_memory_admission,"16,17,18,19",14588.998093227821
4,14753.224536636284,53.804001658047525,46.439453125,False,249,refine,current_memory_admission,"16,17,18,19",14699.420534978237
4,14807.028538294331,53.804001658047525,46.439453125,False,250,refine,current_memory_admission,"16,17,18,19",14753.224536636284
4,14860.832539952378,53.804001658047525,46.439453125,False,251,refine,current_memory_admission,"16,17,18,19",14807.028538294331
4,14914.636541610425,53.804001658047525,46.439453125,False,252,refine,current_memory_admission,"16,17,18,19",14860.832539952378
4,14968.440543268473,53.804001658047525,46.439453125,False,253,refine,current_memory_admission,"16,17,18,19",14914.636541610425
4,15022.24454492652,53.804001658047525,46.439453125,False,254,refine,current_memory_admission,"16,17,18,19",14968.440543268473
4,15076.048546584567,53.804001658047525,46.439453125,False,255,refine,current_memory_admission,"16,17,18,19",15022.24454492652
4,15129.852548242614,53.804001658047525,46.439453125,False,256,refine,current_memory_admission,"16,17,18,19",15076.048546584567
4,15183.656549900661,53.804001658047525,46.439453125,False,257,refine,current_memory_admission,"16,17,18,19",15129.852548242614
4,15237.460551558708,53.804001658047525,46.439453125,False,258,refine,current_memory_admission,"16,17,18,19",15183.656549900661
4,15347.882993309124,110.4224417504156,467.0625,False,259,warmup,current_memory_admission,"20,21,22,23",15237.460551558708
4,15401.68699496717,53.804001658047525,46.439453125,False,260,refine,current_memory_admission,"20,21,22,23",15347.882993309124
4,15455.490996625218,53.804001658047525,46.439453125,False,261,refine,current_memory_admission,"20,21,22,23",15401.68699496717
4,15509.294998283265,53.804001658047525,46.439453125,False,262,refine,current_memory_admission,"20,21,22,23",15455.490996625218
4,15563.098999941312,53.804001658047525,46.439453125,False,263,refine,current_memory_admission,"20,21,22,23",15509.294998283265
4,15616.90300159936,53.804001658047525,46.439453125,False,264,refine,current_memory_admission,"20,21,22,23",15563.098999941312
4,15670.707003257407,53.804001658047525,46.439453125,False,265,refine,current_memory_admission,"20,21,22,23",15616.90300159936
4,15724.511004915454,53.804001658047525,46.439453125,False,266,refine,current_memory_admission,"20,21,22,23",15670.707003257407
4,15778.3150065735,53.804001658047525,46.439453125,False,267,refine,current_memory_admission,"20,21,22,23",15724.511004915454
4,15832.119008231548,53.804001658047525,46.439453125,False,268,refine,current_memory_admission,"20,21,22,23",15778.3150065735
4,15885.923009889595,53.804001658047525,46.439453125,False,269,refine,current_memory_admission,"20,21,22,23",15832.119008231548
4,15996.34545164001,110.4224417504156,467.0625,False,270,warmup,current_memory_admission,"24,25,26,27",15885.923009889595
4,16050.149453298058,53.804001658047525,46.439453125,False,271,refine,current_memory_admission,"24,25,26,27",15996.34545164001
4,16103.953454956105,53.804001658047525,46.439453125,False,272,refine,current_memory_admission,"24,25,26,27",16050.149453298058
4,16157.757456614152,53.804001658047525,46.439453125,False,273,refine,current_memory_admission,"24,25,26,27",16103.953454956105
4,16211.5614582722,53.804001658047525,46.439453125,False,274,refine,current_memory_admission,"24,25,26,27",16157.757456614152
4,16265.365459930246,53.804001658047525,46.439453125,False,275,refine,current_memory_admission,"24,25,26,27",16211.5614582722
4,16319.169461588293,53.804001658047525,46.439453125,False,276,refine,current_memory_admission,"24,25,26,27",16265.365459930246
4,16372.97346324634,53.804001658047525,46.439453125,False,277,refine,current_memory_admission,"24,25,26,27",16319.169461588293
4,16426.77746490439,53.804001658047525,46.439453125,False,278,refine,current_memory_admission,"24,25,26,27",16372.97346324634
4,16480.58146656244,53.804001658047525,46.439453125,False,279,refine,current_memory_admission,"24,25,26,27",16426.77746490439
4,16534.385468220487,53.804001658047525,46.439453125,False,280,refine,current_memory_admission,"24,25,26,27",16480.58146656244
4,16588.189469878536,53.804001658047525,46.439453125,False,281,refine,current_memory_admission,"24,25,26,27",16534.385468220487
4,16698.611911628952,110.4224417504156,467.0625,False,282,warmup,current_memory_admission,"28,29,30,31",16588.189469878536
4,16752.415913287,53.804001658047525,46.439453125,False,283,refine,current_memory_admission,"28,29,30,31",16698.611911628952
4,16806.21991494505,53.804001658047525,46.439453125,False,284,refine,current_memory_admission,"28,29,30,31",16752.415913287
4,16860.0239166031,53.804001658047525,46.439453125,False,285,refine,current_memory_admission,"28,29,30,31",16806.21991494505
4,16913.827918261148,53.804001658047525,46.439453125,False,286,refine,current_memory_admission,"28,29,30,31",16860.0239166031
4,16967.631919919197,53.804001658047525,46.439453125,False,287,refine,current_memory_admission,"28,29,30,31",16913.827918261148
4,17021.435921577246,53.804001658047525,46.439453125,False,288,refine,current_memory_admission,"28,29,30,31",16967.631919919197
4,17075.239923235295,53.804001658047525,46.439453125,False,289,refine,current_memory_admission,"28,29,30,31",17021.435921577246
4,17129.043924893344,53.804001658047525,46.439453125,False,290,refine,current_memory_admission,"28,29,30,31",17075.239923235295
4,17182.847926551392,53.804001658047525,46.439453125,False,291,refine,current_memory_admission,"28,29,30,31",17129.043924893344
4,17236.65192820944,53.804001658047525,46.439453125,False,292,refine,current_memory_admission,"28,29,30,31",17182.847926551392
4,17290.45592986749,53.804001658047525,46.439453125,False,293,refine,current_memory_admission,"28,29,30,31",17236.65192820944
4,17400.878371617906,110.4224417504156,467.0625,False,294,warmup,current_memory_admission,"24,25,26,27",17290.45592986749
4,17454.682373275955,53.804001658047525,46.439453125,False,295,refine,current_memory_admission,"24,25,26,27",17400.878371617906
4,17508.486374934004,53.804001658047525,46.439453125,False,296,refine,current_memory_admission,"24,25,26,27",17454.682373275955
4,17562.290376592053,53.804001658047525,46.439453125,False,297,refine,current_memory_admission,"24,25,26,27",17508.486374934004
4,17616.0943782501,53.804001658047525,46.439453125,False,298,refine,current_memory_admission,"24,25,26,27",17562.290376592053
4,17669.89837990815,53.804001658047525,46.439453125,False,299,refine,current_memory_admission,"24,25,26,27",17616.0943782501
4,17723.7023815662,53.804001658047525,46.439453125,False,300,refine,current_memory_admission,"24,25,26,27",17669.89837990815
4,17777.50638322425,53.804001658047525,46.439453125,False,301,refine,current_memory_admission,"24,25,26,27",17723.7023815662
4,17831.310384882298,53.804001658047525,46.439453125,False,302,refine,current_memory_admission,"24,25,26,27",17777.50638322425
4,17885.114386540346,53.804001658047525,46.439453125,False,303,refine,current_memory_admission,"24,25,26,27",17831.310384882298
4,17938.918388198395,53.804001658047525,46.439453125,False,304,refine,current_memory_admission,"24,25,26,27",17885.114386540346
4,18049.34082994881,110.4224417504156,467.0625,False,305,warmup,current_memory_admission,"28,29,30,31",17938.918388198395
4,18103.14483160686,53.804001658047525,46.439453125,False,306,refine,current_memory_admission,"28,29,30,31",18049.34082994881
4,18156.94883326491,53.804001658047525,46.439453125,False,307,refine,current_memory_admission,"28,29,30,31",18103.14483160686
4,18210.752834922958,53.804001658047525,46.439453125,False,308,refine,current_memory_admission,"28,29,30,31",18156.94883326491
4,18264.556836581007,53.804001658047525,46.439453125,False,309,refine,current_memory_admission,"28,29,30,31",18210.752834922958
4,18318.360838239056,53.804001658047525,46.439453125,False,310,refine,current_memory_admission,"28,29,30,31",18264.556836581007
4,18372.164839897105,53.804001658047525,46.439453125,False,311,refine,current_memory_admission,"28,29,30,31",18318.360838239056
4,18425.968841555154,53.804001658047525,46.439453125,False,312,refine,current_memory_admission,"28,29,30,31",18372.164839897105
4,18479.772843213203,53.804001658047525,46.439453125,False,313,refine,current_memory_admission,"28,29,30,31",18425.968841555154
4,18533.57684487125,53.804001658047525,46.439453125,False,314,refine,current_memory_admission,"28,29,30,31",18479.772843213203
4,18587.3808465293,53.804001658047525,46.439453125,False,315,refine,current_memory_admission,"28,29,30,31",18533.57684487125
4,18697.803288279716,110.4224417504156,467.0625,False,316,warmup,current_memory_admission,"24,25,26,27",18587.3808465293
4,18751.607289937765,53.804001658047525,46.439453125,False,317,refine,current_memory_admission,"24,25,26,27",18697.803288279716
4,18805.411291595814,53.804001658047525,46.439453125,False,318,refine,current_memory_admission,"24,25,26,27",18751.607289937765
4,18859.215293253863,53.804001658047525,46.439453125,False,319,refine,current_memory_admission,"24,25,26,27",18805.411291595814
4,18913.019294911912,53.804001658047525,46.439453125,False,320,refine,current_memory_admission,"24,25,26,27",18859.215293253863
4,18966.82329656996,53.804001658047525,46.439453125,False,321,refine,current_memory_admission,"24,25,26,27",18913.019294911912
4,19020.62729822801,53.804001658047525,46.439453125,False,322,refine,current_memory_admission,"24,25,26,27",18966.82329656996
4,19074.43129988606,53.804001658047525,46.439453125,False,323,refine,current_memory_admission,"24,25,26,27",19020.62729822801
4,19128.235301544108,53.804001658047525,46.439453125,False,324,refine,current_memory_admission,"24,25,26,27",19074.43129988606
4,19182.039303202157,53.804001658047525,46.439453125,False,325,refine,current_memory_admission,"24,25,26,27",19128.235301544108
4,19235.843304860206,53.804001658047525,46.439453125,False,326,refine,current_memory_admission,"24,25,26,27",19182.039303202157
4,19346.26574661062,110.4224417504156,467.0625,False,327,warmup,current_memory_admission,"28,29,30,31",19235.843304860206
4,19400.06974826867,53.804001658047525,46.439453125,False,328,refine,current_memory_admission,"28,29,30,31",19346.26574661062
4,19453.87374992672,53.804001658047525,46.439453125,False,329,refine,current_memory_admission,"28,29,30,31",19400.06974826867
4,19507.677751584768,53.804001658047525,46.439453125,False,330,refine,current_memory_admission,"28,29,30,31",19453.87374992672
4,19561.481753242817,53.804001658047525,46.439453125,False,331,refine,current_memory_admission,"28,29,30,31",19507.677751584768
4,19615.285754900866,53.804001658047525,46.439453125,False,332,refine,current_memory_admission,"28,29,30,31",19561.481753242817
4,19669.089756558915,53.804001658047525,46.439453125,False,333,refine,current_memory_admission,"28,29,30,31",19615.285754900866
4,19722.893758216964,53.804001658047525,46.439453125,False,334,refine,current_memory_admission,"28,29,30,31",19669.089756558915
