file,workload,arrival_rate_rps,refinement_steps,policy,throughput_rps,throughput_speedup,p95_latency_ms,p95_latency_ratio,p95_first_wait_ms,p95_service_ms,p95_inter_iteration_delay_ms,gpu_busy_fraction,gpu_time_ratio,mean_batch_size,partial_dispatch_ratio,token_coupling_waste_ratio,attention_coupling_waste_ratio,slo_miss_rate
mix50_r2_s16_summary.json,mix50,2.0,16,exact_canvas_queue_wait,1.6925330574694213,1.3513863482616546,4695.852659768043,0.25385234526074946,2730.381337404109,4455.389627153635,1231.161279369553,0.9994710834195408,0.7395894480547348,2.8054794520547945,0.989041095890411,0.0,0.0,0.0
mix50_r2_s16_summary.json,mix50,2.0,16,exact_canvas_queue_bounded,1.6222911133051556,1.2953023598278506,9001.531106513396,0.4866123253617774,777.444468973814,6260.036408256564,3519.3154040025547,0.9994930340270921,0.7716291307922326,2.12448132780083,0.9605809128630706,0.0,0.0,0.0
mix75_r0p5_s16_summary.json,mix75,0.5,16,arrival_dense,0.47284436139979086,1.0,2788.869490063428,1.0,76.36253525128558,2782.463707128771,0.0,0.2872279841673493,1.0,1.1962616822429906,1.0,0.27784891165172854,0.36186770428015563,0.0
mix75_r0p5_s16_summary.json,mix75,0.5,16,packed_mixed_fixed_canvas,0.4755451743207814,1.005711843349459,1697.8012942122868,0.6087776069340818,53.345701136300704,1662.61005247361,0.0,0.2675786648041352,0.92629894114822,1.1851851851851851,1.0,0.0,0.0,0.0
mix75_r0p5_s16_summary.json,mix75,0.5,16,coarse_canvas_queue,0.4742704445321756,1.0030159673008747,1899.8648324710573,0.6812311724303198,1026.0563413366488,1231.105314065644,0.0,0.2856318394321049,0.991452745391514,1.1265126512651265,1.0,0.27319587628865977,0.1918744971842317,0.0
mix75_r0p5_s16_summary.json,mix75,0.5,16,exact_canvas_queue,0.4760498581600472,1.0067791794127923,1639.314351007515,0.5878060471629425,1025.66160232977,1230.1546352930018,0.0,0.26504281684352193,0.9165476804974216,1.1228070175438596,1.0,0.0,0.0,0.0
mix75_r0p5_s16_summary.json,mix75,0.5,16,exact_canvas_queue_wait,0.4759878064966486,1.0066479487828766,1658.2945560130154,0.5946117456988997,1044.9186823247744,1229.675754091295,0.0,0.2641462008650981,0.913566162837044,1.1277533039647578,1.0,0.0,0.0,0.0
mix75_r0p5_s16_summary.json,mix75,0.5,16,exact_canvas_queue_bounded,0.4750088630403501,1.0045776196508964,2048.1014653592115,0.7343841196787702,82.64582838242163,1228.1952140532667,800.8299550405332,0.27074623235404327,0.9383225920306084,1.0733752620545074,1.0,0.0,0.0,0.0
mix75_r2_s16_summary.json,mix75,2.0,16,arrival_dense,1.3669566031096547,1.0,15612.47516581195,1.0,4334.410053916862,12446.44934359967,9.094947017729282e-13,0.9857411335639245,1.0,7.420289855072464,0.5362318840579711,0.6847400782560089,0.7619738751814223,0.0
mix75_r2_s16_summary.json,mix75,2.0,16,packed_mixed_fixed_canvas,1.8220330541429752,1.332912142198281,2907.7863653294335,0.18624762149802337,115.90521748773973,2855.554365749412,2.2737367544323206e-13,0.8145373908642735,0.619935664172644,2.270509977827051,0.9866962305986696,0.0,0.0,0.0
