request_id,cache_mode,prompt_length,generation_length,block,inner_step,progress,semantic_bytes,cache_bytes,strategy,cpu_memory_mode,checkpoint_prepare_ms,d2h_ms,gpu_restore_prepare_ms,h2d_ms,semantic_restore_ms,restore_setup_ms,rebuild_ms,recompute_ms,total_recovery_ms,gpu_bytes_retained,full_state_bytes,median_iteration_ms,final_exact,repetition
shape0_p25_g128,prefix,25,128,0,13,0.1015625,1224,13107200,full_offload_pageable,pageable,0.39115900290198624,6.414336996385828,0.3469059884082526,1.8546630162745714,0.0,0.9338640084024519,0.0,0.0,9.94092901237309,0,13109920,32.300313003361225,True,1
shape0_p25_g128,prefix,25,128,0,13,0.1015625,1224,13107200,full_offload_pinned,pinned,0.15773798804730177,1.4857760106679052,0.3658909990917891,0.8592729864176363,0.0,0.9253979951608926,0.0,0.0,3.794075979385525,0,13109920,32.300313003361225,True,0
shape0_p25_g128,prefix,25,128,0,13,0.1015625,1224,13107200,full_offload_pinned,pinned,9.663985983934253,0.6083089974708855,0.34709597821347415,0.8606659830547869,0.0,0.9747910080477595,0.0,0.0,12.45484795072116,0,13109920,32.300313003361225,True,1
shape0_p25_g128,prefix,25,128,0,13,0.1015625,1224,13107200,semantic_only,pinned,0.018154009012505412,0.022010994143784046,0.08920798427425325,0.0604050001129508,13.615550997201353,13.615550997201353,38.53376299957745,0.0,52.339091984322295,0,13109920,32.300313003361225,True,0
shape0_p25_g128,prefix,25,128,0,13,0.1015625,1224,13107200,semantic_only,pinned,0.07917999755591154,0.06611499702557921,0.0954309944063425,0.12282197712920606,13.593298994237557,13.593298994237557,37.65147700323723,0.0,51.60832396359183,0,13109920,32.300313003361225,True,1
shape0_p25_g128,prefix,25,128,0,13,0.1015625,1224,13107200,drop_restart,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.4683099759277,464.4683099759277,0,13109920,32.300313003361225,True,0
shape0_p25_g128,prefix,25,128,0,13,0.1015625,1224,13107200,drop_restart,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.7248529838398,465.7248529838398,0,13109920,32.300313003361225,True,1
shape0_p25_g128,prefix,25,128,0,13,0.1015625,1224,13107200,keep,none,0.0,0.0,0.0,0.0,0.0,0.7149710145313293,0.0,0.0,0.7149710145313293,13109920,13109920,32.300313003361225,True,0
shape0_p25_g128,prefix,25,128,0,13,0.1015625,1224,13107200,keep,none,0.0,0.0,0.0,0.0,0.0,0.6541049806401134,0.0,0.0,0.6541049806401134,13109920,13109920,32.300313003361225,True,1
shape0_p25_g128,prefix,25,128,1,0,0.25,1224,0,full_offload_pageable,pageable,0.026169989723712206,0.03659899812191725,0.09629200212657452,0.07510199793614447,0.0,0.4852359998039901,0.0,0.0,0.7193989877123386,0,2464,32.300313003361225,True,0
shape0_p25_g128,prefix,25,128,1,0,0.25,1224,0,full_offload_pageable,pageable,0.019076018361374736,0.03717001527547836,0.10264400043524802,0.07603300036862493,0.0,0.4742550081573427,0.0,0.0,0.7091780425980687,0,2464,32.300313003361225,True,1
shape0_p25_g128,prefix,25,128,1,0,0.25,1224,0,full_offload_pinned,pinned,0.026839989004656672,0.026399997295811772,0.09501900058239698,0.06649500573985279,0.0,0.5213240219745785,0.0,0.0,0.7360780145972967,0,2464,32.300313003361225,True,0
shape0_p25_g128,prefix,25,128,1,0,0.25,1224,0,full_offload_pinned,pinned,0.020337989553809166,0.026920984964817762,0.09538000449538231,0.06768800085410476,0.0,0.474314991151914,0.0,0.0,0.684641971020028,0,2464,32.300313003361225,True,1
shape0_p25_g128,prefix,25,128,1,0,0.25,1224,0,semantic_only,pinned,0.017784012015908957,0.02112999209202826,0.08879799861460924,0.058940990129485726,6.858876993646845,6.858876993646845,0,0.0,7.045529986498877,0,2464,32.300313003361225,True,0
shape0_p25_g128,prefix,25,128,1,0,0.25,1224,0,semantic_only,pinned,0.07939001079648733,0.0654929899610579,0.08878702647052705,0.12224100646562874,7.154374994570389,7.154374994570389,0,0.0,7.51028602826409,0,2464,32.300313003361225,True,1
