ar_parallel_ms,ar_serial_ms,dllm_parallel_ms,dllm_serial_ms,dllm_vs_ar_parallel_speedup,dllm_vs_ar_serial_speedup,dllm_vs_no_spec_parallel_speedup,dllm_vs_no_spec_serial_speedup,generation_ms,no_spec_parallel_ms,no_spec_serial_ms,num_calls,request_index,tool_latency_ms
1141.844671976287,1683.3841919932247,958.4604799830621,1683.3841919932247,1.1913320327995847,1.0,1.1913320327995847,1.2723445320228524,641.8446719762869,1141.844671976287,2141.844671976287,3,6,500.0
1641.844671976287,3183.3841919932247,1458.4604799830622,3183.3841919932247,1.1257381975789666,1.0,1.1257381975789666,1.1440166980586797,641.8446719762869,1641.844671976287,3641.844671976287,3,6,1000.0
2641.844671976287,6183.384191993225,2458.460479983062,6183.384191993225,1.0745931014496064,1.0,1.0745931014496064,1.0741439421759877,641.8446719762869,2641.844671976287,6641.844671976287,3,6,2000.0
753.0565550201572,753.0565550201572,659.762761445849,666.4689678715408,1.1414050610705246,1.1299199082369065,1.1414050610705246,1.4300088990847883,653.0565550201572,753.0565550201572,953.0565550201572,3,7,100.0
953.0565550201572,1086.5875871486164,859.762761445849,1179.8813807229244,1.1085110890560292,0.9209295145270061,1.1085110890560292,1.3162819418919764,653.0565550201572,953.0565550201572,1553.0565550201572,3,7,300.0
1153.0565550201572,1686.5875871486164,1059.762761445849,1779.8813807229244,1.088032715404178,0.9475842634319736,1.088032715404178,1.2096629462721062,653.0565550201572,1153.0565550201572,2153.0565550201572,3,7,500.0
1653.0565550201572,3186.5875871486164,1559.762761445849,3279.8813807229244,1.0598128099223423,0.9715557415818054,1.0598128099223423,1.113777033672779,653.0565550201572,1653.0565550201572,3653.0565550201572,3,7,1000.0
2653.0565550201572,6186.587587148617,2559.762761445849,6279.881380722924,1.0364462656381535,0.9851440197802641,1.0364462656381535,1.059423920878944,653.0565550201572,2653.0565550201572,6653.056555020157,3,7,2000.0
741.3802540046163,741.3802540046163,649.7545034325282,649.7545034325282,1.1410159530838908,1.1410159530838908,1.1410159530838908,1.4488245160772035,641.3802540046163,741.3802540046163,941.3802540046163,3,8,100.0
941.3802540046163,1083.251501144176,849.7545034325282,1083.251501144176,1.107826142964788,1.0,1.107826142964788,1.4229200258449173,641.3802540046163,941.3802540046163,1541.3802540046163,3,8,300.0
1141.3802540046163,1683.251501144176,1049.754503432528,1683.251501144176,1.0872830269100888,1.0,1.0872830269100888,1.2721689257660136,641.3802540046163,1141.3802540046163,2141.3802540046163,3,8,500.0
1641.3802540046163,3183.251501144176,1549.754503432528,3183.251501144176,1.0591227516159158,1.0,1.0591227516159158,1.143918491107527,641.3802540046163,1641.3802540046163,3641.3802540046163,3,8,1000.0
2641.3802540046163,6183.251501144176,2549.754503432528,6183.251501144176,1.0359351264793297,1.0,1.0359351264793297,1.074091883982993,641.3802540046163,2641.3802540046163,6641.380254004616,3,8,2000.0
732.9692029976286,732.9692029976286,632.9692029976286,632.9692029976286,1.1579855694817662,1.1579855694817662,1.1579855694817662,1.4739567084452985,632.9692029976286,732.9692029976286,932.9692029976286,3,9,100.0
932.9692029976286,1080.8483437136083,661.6966874272164,1171.2725155704122,1.4099650500369945,0.92279834909917,1.4099650500369945,1.3088066036033206,632.9692029976286,932.9692029976286,1532.9692029976286,3,9,300.0
1132.9692029976286,1680.8483437136083,861.6966874272164,1771.2725155704122,1.3148120673184385,0.9489495991938405,1.3148120673184385,1.2042016032246383,632.9692029976286,1132.9692029976286,2132.9692029976286,3,9,500.0
1632.9692029976286,3180.8483437136083,1361.6966874272164,3271.272515570412,1.1992165495261307,0.9723581048578472,1.1992165495261307,1.1105675805686117,632.9692029976286,1632.9692029976286,3632.9692029976286,3,9,1000.0
2632.9692029976286,6180.848343713608,2361.696687427216,6271.272515570412,1.1148634018138592,0.9855812083381328,1.1148634018138592,1.057675166647469,632.9692029976286,2632.9692029976286,6632.969202997629,3,9,2000.0
