ar_parallel_ms,ar_serial_ms,bias_strength,dllm_parallel_ms,dllm_serial_ms,dllm_vs_ar_parallel_speedup,dllm_vs_ar_serial_speedup,dllm_vs_no_spec_parallel_speedup,dllm_vs_no_spec_serial_speedup,generation_ms,no_spec_parallel_ms,no_spec_serial_ms,num_calls,prompt_format,request_index,tool_latency_ms
,,0.4,,,,,,,1896.6735010035336,3896.6735010035336,7896.673501003534,3,named_object,1,2000.0
,,0.0,,,,,,,1443.9087199862115,1543.9087199862115,1743.9087199862115,3,named_object,2,100.0
,,0.0,,,,,,,1443.9087199862115,1743.9087199862115,2343.9087199862115,3,named_object,2,300.0
,,0.0,,,,,,,1443.9087199862115,1943.9087199862115,2943.9087199862115,3,named_object,2,500.0
,,0.0,,,,,,,1443.9087199862115,2443.9087199862115,4443.9087199862115,3,named_object,2,1000.0
,,0.0,,,,,,,1443.9087199862115,3443.9087199862115,7443.9087199862115,3,named_object,2,2000.0
,,0.2,,,,,,,1244.0549479797482,1344.0549479797482,1544.0549479797482,3,named_object,2,100.0
,,0.2,,,,,,,1244.0549479797482,1544.0549479797482,2144.0549479797482,3,named_object,2,300.0
,,0.2,,,,,,,1244.0549479797482,1744.0549479797482,2744.0549479797482,3,named_object,2,500.0
,,0.2,,,,,,,1244.0549479797482,2244.0549479797482,4244.054947979748,3,named_object,2,1000.0
,,0.2,,,,,,,1244.0549479797482,3244.0549479797482,7244.054947979748,3,named_object,2,2000.0
1600.0185039825737,1600.0185039825737,0.4,1500.0185039825737,1500.0185039825737,1.066665844277586,1.066665844277586,1.066665844277586,1.1999975328327583,1500.0185039825737,1600.0185039825737,1800.0185039825737,3,named_object,2,100.0
1800.0185039825737,1800.0185039825737,0.4,1500.0185039825737,1500.0185039825737,1.1999975328327583,1.1999975328327583,1.1999975328327583,1.5999925984982752,1500.0185039825737,1800.0185039825737,2400.0185039825737,3,named_object,2,300.0
2000.0185039825737,2000.0185039825737,0.4,1666.681058653113,1833.337445329461,1.2000007401529116,1.0909167371657318,1.2000007401529116,1.6363700592192147,1500.0185039825737,2000.0185039825737,3000.0185039825737,3,named_object,2,500.0
2500.0185039825737,3388.8936862177043,0.4,2166.681058653113,3333.337445329461,1.1538470297685048,1.016666851706264,1.1538470297685048,1.3500038858315468,1500.0185039825737,2500.0185039825737,4500.018503982574,3,named_object,2,1000.0
3500.0185039825737,6388.893686217704,0.4,3166.681058653113,6333.337445329461,1.105263978012121,1.0087720323396336,1.105263978012121,1.1842126791323089,1500.0185039825737,3500.0185039825737,7500.018503982574,3,named_object,2,2000.0
1010.4565309826285,1010.4565309826285,0.0,910.4565309826285,910.4565309826285,1.1098350076000587,1.1098350076000587,1.1098350076000587,1.329505022800176,910.4565309826285,1010.4565309826285,1210.4565309826285,3,named_object,3,100.0
