ar_optimistic_parallel_ms,ar_optimistic_serial_ms,ar_probe_ms,ar_verified_parallel_ms,ar_verified_serial_ms,dllm_incremental_parallel_ms,dllm_incremental_serial_ms,dllm_saved_vs_ar_verified_parallel_ms,dllm_saved_vs_ar_verified_serial_ms,dllm_vs_ar_optimistic_parallel_speedup,dllm_vs_ar_optimistic_serial_speedup,dllm_vs_ar_verified_parallel_speedup,dllm_vs_ar_verified_serial_speedup,dllm_vs_no_spec_parallel_speedup,dllm_vs_no_spec_serial_speedup,generation_ms,no_spec_parallel_ms,no_spec_serial_ms,num_calls,request_index,tool_latency_ms
684.5371109899133,684.5371109899133,500.0,1184.5371109899133,1184.5371109899133,584.5371109899133,589.6914073266089,600.0,594.8457036633044,1.171075536727942,1.1608395552061568,2.0264532203676517,2.008740667190765,1.171075536727942,1.5,584.5371109899133,684.5371109899133,884.5371109899133,3,10,100.0
884.5371109899133,1094.8457036633044,500.0,1384.5371109899133,1594.8457036633044,689.6914073266089,1094.8457036633044,694.8457036633044,500.0,1.2825114269852484,1.0,2.0074733370344204,1.4566853560524762,1.2825114269852484,1.3559327182110859,584.5371109899133,884.5371109899133,1484.5371109899133,3,10,300.0
1084.5371109899133,1694.8457036633044,500.0,1584.5371109899133,2194.8457036633044,889.6914073266089,1694.8457036633044,694.8457036633044,500.0,1.2190036928071353,1.0,1.7809963071928647,1.2950121057741604,1.2190036928071353,1.229927365355038,584.5371109899133,1084.5371109899133,2084.5371109899133,3,10,500.0
1584.5371109899133,3194.8457036633044,500.0,2084.5371109899133,3694.8457036633044,1389.691407326609,3194.8457036633044,694.8457036633044,500.0,1.1402078926559207,1.0,1.5,1.1565020806565667,1.1402078926559207,1.1219750321211999,584.5371109899133,1584.5371109899133,3584.5371109899133,3,10,1000.0
2584.5371109899133,6194.845703663304,500.0,3084.5371109899133,6694.845703663304,2389.691407326609,6194.845703663304,694.8457036633044,500.0,1.0815359268003906,1.0,1.2907679634001952,1.0807122604691068,1.0815359268003906,1.0629057487414362,584.5371109899133,2584.5371109899133,6584.537110989913,3,10,2000.0
755.4191900067963,755.4191900067963,500.0,1255.4191900067963,1255.4191900067963,661.7878771486825,668.1565642905688,593.6313128581138,587.2626257162275,1.1414823632936961,1.1306020630192875,1.8970114644828164,1.8789296657434889,1.1414823632936961,1.429933104108968,655.4191900067963,755.4191900067963,955.4191900067963,3,11,100.0
955.4191900067963,1087.2626257162274,500.0,1455.4191900067963,1587.2626257162274,861.7878771486825,1087.2626257162274,593.6313128581138,500.0,1.1086477488728468,1.0,1.6888369268110461,1.4598704932680162,1.1086477488728468,1.4305827802939273,655.4191900067963,955.4191900067963,1555.4191900067963,3,11,300.0
1155.4191900067963,1687.2626257162274,500.0,1655.4191900067963,2187.2626257162274,1061.7878771486826,1687.2626257162274,593.6313128581137,500.0,1.0881826915462158,1.0,1.55908654226892,1.2963379810465219,1.0881826915462158,1.2774651421510868,655.4191900067963,1155.4191900067963,2155.4191900067963,3,11,500.0
1655.4191900067963,3187.2626257162274,500.0,2155.4191900067963,3687.2626257162274,1561.7878771486826,3187.2626257162274,593.6313128581137,500.0,1.0599513635802156,1.0,1.3800972728395688,1.1568744275936917,1.0599513635802156,1.1468835860946247,655.4191900067963,1655.4191900067963,3655.4191900067963,3,11,1000.0
2655.4191900067963,6187.262625716227,500.0,3155.4191900067963,6687.262625716227,2561.7878771486826,6187.262625716227,593.6313128581137,500.0,1.0365492060030852,1.0,1.2317253969984574,1.080811181009489,1.0365492060030852,1.0756645697153313,655.4191900067963,2655.4191900067963,6655.419190006796,3,11,2000.0
689.1977150458843,689.1977150458843,500.0,1189.1977150458843,1189.1977150458843,590.9980958715703,594.5988575229421,598.199619174314,594.5988575229421,1.166158943421797,1.1590969379205243,2.0121853578768696,2.0,1.166158943421797,1.4954581627523145,589.1977150458843,689.1977150458843,889.1977150458843,3,12,100.0
