native_all_ready_fraction,native_all_ready_ms,native_generation_ms,num_calls,probe_all_ready,probe_latency_ms,probe_output_tokens,probe_prompt_tokens,probe_ready_count,prompt_format,request_index
0.8333333333333334,501.0309175122529,601.2371010147035,3,True,2649.557697994169,105,341,3,action_list,66
0.7142857142857143,460.1831949964565,644.2564729950391,3,True,2781.7501190002076,110,356,3,action_list,67
0.8571428571428571,550.7156040319907,642.5015380373225,3,True,2685.3172950213775,106,347,3,action_list,68
0.5714285714285714,370.9483405774725,649.1595960105769,3,True,2654.8956949845888,105,342,3,action_list,69
0.6666666666666666,395.4329146460319,593.1493719690479,3,True,2178.2974249799736,86,311,3,action_list,70
0.875,601.9423112084041,687.9340699524619,3,True,2580.0612720195204,102,338,3,action_list,71
0.625,437.726787495194,700.3628599923104,3,True,2278.355152986478,90,317,3,action_list,72
0.75,526.733438266092,702.311251021456,3,True,2327.893192996271,92,320,3,action_list,73
0.8333333333333334,498.5428916794869,598.2514700153843,3,True,2840.97851900151,112,356,3,action_list,74
0.6666666666666666,395.747722669815,593.6215840047225,3,True,2221.723071008455,88,312,3,action_list,75
0.8571428571428571,567.698262016555,662.3146390193142,3,True,2630.6030720006675,104,343,3,action_list,76
0.8333333333333334,504.04148835999274,604.8497860319912,3,True,2605.428287992254,103,344,3,action_list,77
0.8333333333333334,505.63118333229795,606.7574199987575,3,True,2705.3079399629496,107,348,3,action_list,78
0.7777777777777778,592.1604391187429,761.3491360098124,3,True,2328.697757970076,92,320,3,action_list,79
0.75,527.2580489690881,703.0107319587842,3,True,2284.1501269722357,90,315,3,action_list,80
0.8333333333333334,505.8080925179335,606.9697110215202,3,True,2730.565108009614,108,348,3,action_list,81
0.8333333333333334,499.34771251476684,599.2172550177202,3,True,2757.2359000332654,109,352,3,action_list,82
0.6666666666666666,508.32511069408304,762.4876660411246,3,True,2255.0579929957166,89,317,3,action_list,83
0.875,634.8428318669903,725.5346649908461,3,True,2757.2935290518217,109,353,3,action_list,84
0.875,616.8617717266898,704.9848819733597,3,True,2655.319807003252,105,342,3,action_list,85
0.75,541.861528516165,722.4820380215533,3,True,2657.413907989394,105,341,3,action_list,86
0.8333333333333334,504.6170000180913,605.5404000217095,3,True,2602.030733018182,103,341,3,action_list,87
0.875,636.7536008765455,727.7184010017663,3,True,2757.1147010312416,109,354,3,action_list,88
0.7777777777777778,592.1028835776573,761.2751360284165,3,True,2278.779359010514,90,316,3,action_list,89
0.875,627.4148536540451,717.0455470331945,3,True,2756.7783969570883,109,353,3,action_list,90
0.8571428571428571,573.9400945770154,669.5967770065181,3,True,2806.9134730030783,111,355,3,action_list,91
0.75,524.8098044976359,699.7464059968479,3,True,2782.7726550167426,110,355,3,action_list,92
0.8333333333333334,508.8662108270607,610.6394529924728,3,True,2826.477797003463,112,355,3,action_list,93
0.8333333333333334,508.8741766424695,610.6490119709633,3,True,2806.797916011419,111,351,3,action_list,94
0.6666666666666666,399.1179566752786,598.676935012918,3,True,2229.884387983475,88,312,3,action_list,95
0.7142857142857143,470.0236785408509,658.0331499571912,3,True,2254.3597270268947,89,316,3,action_list,96
0.875,627.9140822371119,717.6160939852707,3,True,2632.8951200121082,104,345,3,action_list,97
0.7142857142857143,457.42606498866473,640.3964909841307,3,True,2757.5508570298553,109,354,3,action_list,98
