action_ready_ms,bind_elapsed_ms,bind_fraction,bind_success,inflight_binding_upper_bound_ms,no_bind_elapsed_ms,request_index,restart_success,restart_with_result_ms,saved_ms,sequential_restart_path_ms,speedup,tool_latency_ms
562.7187158144709,2984.700212953612,0.25,True,2984.700212953612,2974.370355019346,3,True,1624.0095419925638,-297.9719551465778,2686.7282578070344,0.9001668730905107,500.0
562.7187158144709,2987.6258129952475,0.5,False,2987.6258129952475,2974.370355019346,3,True,1624.0095419925638,-700.8975551882131,2286.7282578070344,0.7653998194353772,100.0
562.7187158144709,2987.6258129952475,0.5,False,2987.6258129952475,2974.370355019346,3,True,1624.0095419925638,-500.8975551882131,2486.7282578070344,0.8323426069591902,300.0
562.7187158144709,2987.6258129952475,0.5,False,2987.6258129952475,2974.370355019346,3,True,1624.0095419925638,-300.8975551882131,2686.7282578070344,0.8992853944830033,500.0
562.7187158144709,2991.192855988629,0.75,False,2991.192855988629,2974.370355019346,3,True,1624.0095419925638,-704.4645981815947,2286.7282578070344,0.7644870685047288,100.0
562.7187158144709,2991.192855988629,0.75,False,2991.192855988629,2974.370355019346,3,True,1624.0095419925638,-504.46459818159474,2486.7282578070344,0.8313500257358489,300.0
562.7187158144709,2991.192855988629,0.75,False,2991.192855988629,2974.370355019346,3,True,1624.0095419925638,-304.46459818159474,2686.7282578070344,0.8982129829669692,500.0
324.48216111399233,2038.0619739880785,0.25,False,2038.0619739880785,2028.013506962452,4,True,1799.2977899848484,185.71797711076215,2223.7799510988407,1.0911247937899304,100.0
324.48216111399233,2038.0619739880785,0.25,False,2038.0619739880785,2028.013506962452,4,True,1799.2977899848484,385.71797711076215,2423.7799510988407,1.1892572365481062,300.0
324.48216111399233,2038.0619739880785,0.25,False,2038.0619739880785,2028.013506962452,4,True,1799.2977899848484,585.7179771107621,2623.7799510988407,1.287389679306282,500.0
324.48216111399233,2038.1369710084982,0.5,False,2038.1369710084982,2028.013506962452,4,True,1799.2977899848484,185.64298009034246,2223.7799510988407,1.0910846438345523,100.0
324.48216111399233,2038.1369710084982,0.5,False,2038.1369710084982,2028.013506962452,4,True,1799.2977899848484,385.64298009034246,2423.7799510988407,1.189213475627951,300.0
324.48216111399233,2038.1369710084982,0.5,False,2038.1369710084982,2028.013506962452,4,True,1799.2977899848484,585.6429800903425,2623.7799510988407,1.2873423074213497,500.0
324.48216111399233,2039.3436099984683,0.75,False,2039.3436099984683,2028.013506962452,4,True,1799.2977899848484,184.43634110037237,2223.7799510988407,1.0904390707853842,100.0
324.48216111399233,2039.3436099984683,0.75,False,2039.3436099984683,2028.013506962452,4,True,1799.2977899848484,384.4363411003724,2423.7799510988407,1.1885098417037534,300.0
324.48216111399233,2039.3436099984683,0.75,False,2039.3436099984683,2028.013506962452,4,True,1799.2977899848484,584.4363411003724,2623.7799510988407,1.2865806126221226,500.0
245.37280058789563,2783.123426954262,0.25,True,2783.123426954262,2780.89173999615,5,True,1818.8288069795817,-618.9218193867846,2164.2016075674774,0.7776161080774964,100.0
245.37280058789563,2783.123426954262,0.25,True,2783.123426954262,2780.89173999615,5,True,1818.8288069795817,-418.9218193867846,2364.2016075674774,0.8494778149867267,300.0
245.37280058789563,2783.123426954262,0.25,True,2783.123426954262,2780.89173999615,5,True,1818.8288069795817,-218.9218193867846,2564.2016075674774,0.9213395218959571,500.0
245.37280058789563,2784.9023179733194,0.5,False,2784.9023179733194,2780.89173999615,5,True,1818.8288069795817,-620.7007104058421,2164.2016075674774,0.7771193961095376,100.0
245.37280058789563,2784.9023179733194,0.5,False,2784.9023179733194,2780.89173999615,5,True,1818.8288069795817,-420.7007104058421,2364.2016075674774,0.8489352004590228,300.0
245.37280058789563,2784.9023179733194,0.5,False,2784.9023179733194,2780.89173999615,5,True,1818.8288069795817,-220.70071040584207,2564.2016075674774,0.9207510048085081,500.0
245.37280058789563,2787.425133981742,0.75,False,2787.425133981742,2780.89173999615,5,True,1818.8288069795817,-623.2235264142646,2164.2016075674774,0.776416048339203,100.0
245.37280058789563,2787.425133981742,0.75,False,2787.425133981742,2780.89173999615,5,True,1818.8288069795817,-423.2235264142646,2364.2016075674774,0.8481668543292123,300.0
