ar_parallel_ms,ar_serial_ms,bias_strength,dllm_parallel_ms,dllm_serial_ms,dllm_vs_ar_parallel_speedup,dllm_vs_ar_serial_speedup,dllm_vs_no_spec_parallel_speedup,dllm_vs_no_spec_serial_speedup,generation_ms,no_spec_parallel_ms,no_spec_serial_ms,num_calls,prompt_format,request_index,tool_latency_ms
1169.5993790170178,1189.8664596723393,0.0,1024.6661491808482,1262.333074590424,1.141444342581273,0.9425931108225163,1.141444342581273,1.4018482242423864,869.5993790170178,1169.5993790170178,1769.5993790170178,3,json_array,5,300.0
1369.5993790170178,1789.8664596723393,0.0,1224.6661491808482,1862.333074590424,1.1183450934224908,0.9610882629392048,1.1183450934224908,1.2723821594255662,869.5993790170178,1369.5993790170178,2369.599379017018,3,json_array,5,500.0
1869.5993790170178,3289.8664596723393,0.0,1724.6661491808482,3362.333074590424,1.0840355276324103,0.978447520423921,1.0840355276324103,1.1508673570325525,869.5993790170178,1869.5993790170178,3869.599379017018,3,json_array,5,1000.0
2869.599379017018,6289.866459672339,0.0,2724.666149180848,6362.333074590424,1.0531930232552502,0.9886100563946426,1.0531930232552502,1.0797296052375016,869.5993790170178,2869.599379017018,6869.599379017018,3,json_array,5,2000.0
968.6093440046534,968.6093440046534,0.2,868.6093440046534,868.6093440046534,1.1151265533697323,1.1151265533697323,1.1151265533697323,1.3453796601091972,868.6093440046534,968.6093440046534,1168.6093440046534,3,json_array,5,100.0
1168.6093440046534,1189.536448001551,0.2,1023.8411200038779,1261.920560001939,1.1413971574029251,0.9426397236920548,1.1413971574029251,1.4015219341556142,868.6093440046534,1168.6093440046534,1768.6093440046534,3,json_array,5,300.0
1368.6093440046534,1789.536448001551,0.2,1223.841120003878,1861.920560001939,1.1182900473227413,0.961123952570612,1.1182900473227413,1.272132332005715,868.6093440046534,1368.6093440046534,2368.6093440046534,3,json_array,5,500.0
1868.6093440046534,3289.536448001551,0.2,1723.841120003878,3361.920560001939,1.0839800271155209,0.9784694163028211,1.0839800271155209,1.1507140858802511,868.6093440046534,1868.6093440046534,3868.6093440046534,3,json_array,5,1000.0
2868.6093440046534,6289.5364480015505,0.2,2723.841120003878,6361.9205600019395,1.0531485566238052,0.9886222860977744,1.0531485566238052,1.0796439973155778,868.6093440046534,2868.6093440046534,6868.609344004653,3,json_array,5,2000.0
1005.8232450042851,1005.8232450042851,0.4,905.8232450042851,905.8232450042851,1.110396813673651,1.110396813673651,1.110396813673651,1.331190441020953,905.8232450042851,1005.8232450042851,1205.8232450042851,3,json_array,5,100.0
