policy,request_id,arrival_ms,first_start_ms,completion_ms,latency_ms,canvas
exact_bucket,183,2108667.903976731,2116140.3184130844,2119431.5637190556,10763.659742324613,32
exact_bucket,184,2113917.029591075,2119431.5637190556,2124258.974241848,10341.944650772959,64
exact_bucket,185,2119065.372519582,2119431.5637190556,2124258.974241848,5193.601722266059,64
exact_bucket,186,2122570.245255408,2124258.974241848,2132586.3177404376,10016.072485029697,256
exact_bucket,187,2123931.7396976976,2132586.3177404376,2136185.2814490544,12253.541751356795,32
exact_bucket,188,2129386.7098244787,2132586.3177404376,2136185.2814490544,6798.5716245756485,32
exact_bucket,189,2157581.6132155275,2157581.6132155275,2166054.903323057,8473.29010752961,64
exact_bucket,190,2168892.491127931,2168892.491127931,2177365.7812354607,8473.29010752961,64
exact_bucket,191,2192202.907367985,2192202.907367985,2195494.152673957,3291.245305971708,32
exact_bucket,192,2201761.4102069894,2201761.4102069894,2205052.6555129606,3291.2453059712425,32
exact_bucket,193,2205341.738498117,2205341.738498117,2213865.9185607256,8524.180062608793,256
exact_bucket,194,2213281.0804961673,2213865.9185607256,2222339.2086682552,9058.128172087949,64
exact_bucket,195,2213285.1407172983,2213307.023583724,2230304.4937538626,17019.35303656431,256
exact_bucket,196,2216666.669234102,2230304.4937538626,2236721.1939924783,20054.52475837618,128
exact_bucket,197,2222285.8963272595,2236721.1939924783,2240012.43929845,17726.54297119053,32
exact_bucket,198,2230960.5396583877,2240012.43929845,2252000.942887799,21040.403229411226,256
exact_bucket,199,2241594.119269841,2241605.4963155715,2253593.9999049203,11999.880635079462,256
split_oldest,0,0.0,0.0,6416.700238638829,6416.700238638829,128
split_oldest,1,34736.47349034643,34736.47349034643,38027.718796344445,3291.245305998018,32
split_oldest,2,60823.09102439992,60823.09102439992,64114.336330397935,3291.245305998018,32
split_oldest,3,79707.7156812573,79707.7156812573,86619.54511707682,6911.829435819527,32
split_oldest,4,81526.6654864098,81567.98476725617,94670.40790846037,13143.742422050578,256
split_oldest,5,88175.00606283615,88212.60213419829,110080.92682588476,21905.920763048605,128
split_oldest,6,90579.77642216215,90704.37197111988,113523.70676048186,22943.93033831971,256
split_oldest,7,95705.38591705072,95824.28959224348,116914.23794157284,21208.852024522115,32
split_oldest,8,96309.63345966798,96480.223518147,117397.11995689166,21087.486497223683,64
split_oldest,9,101073.44257280664,101292.30105605995,117998.1299692913,16924.68739648466,32
split_oldest,10,143278.53841191067,143278.53841191067,146904.56807818552,3626.029666274844,32
split_oldest,11,146360.14928751826,146398.0665715088,152986.48395654786,6626.334669029602,128
split_oldest,12,161688.18714353463,161688.18714353463,164979.43244953264,3291.245305998018,32
split_oldest,13,167758.03551706072,167758.03551706072,171049.28082305874,3291.245305998018,32
split_oldest,14,173257.2953825069,173257.2953825069,179673.99562114608,6416.700238639169,128
split_oldest,15,204796.9911724894,204796.9911724894,211213.69141112856,6416.700238639169,128
split_oldest,16,258663.42796072765,258663.42796072765,261954.67326672567,3291.245305998018,32
split_oldest,17,266777.51854578406,266777.51854578406,273194.2187844199,6416.700238635822,128
split_oldest,18,279450.4889641416,279450.4889641416,292586.77870015893,13136.289736017352,256
split_oldest,19,281132.2713347837,281188.3693464559,294939.1159854764,13806.844650692714,32
split_oldest,20,284652.09996031364,284753.08111573034,297545.9365589479,12893.836598634254,256
split_oldest,21,319296.4642252935,319296.4642252935,325713.1644639293,6416.700238635822,128
split_oldest,22,327951.97203770984,327951.97203770984,336654.218340446,8702.246302736166,64
split_oldest,23,335765.09593363584,335835.8158768958,339716.50745124416,3951.4115176083287,32
split_oldest,24,349547.3880691405,349547.3880691405,367017.44761895144,17470.059549810947,256
split_oldest,25,350136.03081515414,350199.09321250836,367962.2327002156,17826.201885061455,64
split_oldest,26,358911.00101145345,358964.6411809218,369839.95289601566,10928.951884562208,32
split_oldest,27,365899.6435893103,365953.1208025301,370984.733872015,5085.090282704681,32
split_oldest,28,385053.8336801934,385053.8336801934,398458.7399763121,13404.906296118686,256
split_oldest,29,386766.8513981961,386791.71406250773,399797.8774174187,13031.026019222627,128
split_oldest,30,419152.25634998974,419152.25634998974,437898.09904228227,18745.84269229253,256
split_oldest,31,419987.2840914844,420021.1965411469,439909.0157076419,19921.731616157515,256
split_oldest,32,422043.0830959467,422144.9974537569,442272.57646858704,20229.49337264034,128
split_oldest,33,431082.6320782008,431249.9198412547,453328.54216235486,22245.91008415405,256
split_oldest,34,442328.47529520537,442344.98815118347,465515.6145170786,23187.13922187325,64
split_oldest,35,445009.935396144,445194.4257913915,468007.38435399963,22997.44895785564,128
split_oldest,36,446286.98071637086,446461.56234188896,468570.0635255541,22283.082809183223,256
split_oldest,37,468385.8834854212,468441.8544495782,479637.7257395784,11251.842254157236,128
split_oldest,38,471212.36907456507,471304.13580114674,485546.00299795705,14333.633923391986,256
split_oldest,39,480239.1854835989,480289.4308829463,489675.01010803576,9435.82462443685,128
split_oldest,40,489898.7629334494,489898.7629334494,499342.2678836382,9443.504950188799,256
split_oldest,41,495332.68008042214,495402.0508107781,501517.3517380369,6184.671657614759,32
split_oldest,42,504095.505707611,504095.505707611,507386.751013609,3291.245305998018,32
split_oldest,43,511493.339395802,511493.339395802,514784.5847018,3291.245305998018,32
split_oldest,44,538781.9301744516,538781.9301744516,542166.8289073335,3384.898732881993,32
split_oldest,45,541066.7479102754,541071.4921264502,544456.3908593322,3389.6429490568116,32
split_oldest,46,553661.3141489562,553661.3141489562,557003.3998866912,3342.085737735033,32
split_oldest,47,556388.4074389797,556408.7884913546,559750.8742290896,3362.466790109873,32
split_oldest,48,561426.6732949361,561426.6732949361,567843.3735335786,6416.700238642516,128
split_oldest,49,572564.6500360131,572564.6500360131,578945.5222949263,6380.872258913238,64
split_oldest,50,576131.3577583269,576175.0084296562,583557.5640425688,7426.206284241867,64
split_oldest,51,579931.9222963081,579977.0532645386,585847.1259945674,5915.203698259313,32
split_oldest,52,593869.725101161,593869.725101161,604911.5190209155,11041.793919754447,32
split_oldest,53,594622.8148032584,594671.0717843606,608501.3731482415,13878.558344983147,256
split_oldest,54,600752.9769117254,600833.9754111418,611905.014144391,11152.037232665694,128
split_oldest,55,665476.6721876753,665476.6721876753,671893.3724263178,6416.700238642516,128
split_oldest,56,720935.3555276047,720935.3555276047,733129.1350570233,12193.779529418563,32
split_oldest,57,721696.1855827032,721736.7022108042,737992.4512677474,16296.265685044229,256
split_oldest,58,724093.4168463878,724132.8316543181,740373.977874853,16280.561028465163,32
split_oldest,59,727174.9917471996,727275.3375667077,742658.0821647088,15483.0904175092,64
split_oldest,60,754244.4066057976,754244.4066057976,762571.750104387,8327.343498589471,256
split_oldest,61,775519.3169975642,775519.3169975642,781936.0172362067,6416.700238642516,128
split_oldest,62,796661.323398825,796661.323398825,804628.5250470242,7967.201648199232,128
split_oldest,63,801274.1742828253,801292.5070493235,815269.8783530265,13995.704070201144,128
split_oldest,64,802990.9206405571,803088.1891048923,816862.9353701479,13872.014729590854,256
split_oldest,65,820933.2431593114,820933.2431593114,829260.5866579008,8327.343498589471,256
split_oldest,66,833091.6704013709,833091.6704013709,836382.9157073689,3291.245305998018,32
