policy,request_id,arrival_ms,first_start_ms,completion_ms,latency_ms,canvas
exact_bucket,193,2205341.738498117,2205341.738498117,2213865.9185607256,8524.180062608793,256
exact_bucket,194,2213281.0804961673,2213865.9185607256,2217202.6526740445,3921.572177877184,32
exact_bucket,195,2213285.1407172983,2213307.023583724,2225167.937759652,11882.797042353544,256
exact_bucket,196,2216666.669234102,2216670.631951901,2228234.8807461252,11568.211512023117,32
exact_bucket,197,2222285.8963272595,2225167.937759652,2228721.412660921,6435.516333661508,32
exact_bucket,198,2230960.5396583877,2230960.5396583877,2239287.883156977,8327.343498589471,256
exact_bucket,199,2241594.119269841,2241594.119269841,2249921.4627684304,8327.343498589471,256
split_oldest,0,0.0,0.0,3291.245305998018,3291.245305998018,32
split_oldest,1,34736.47349034643,34736.47349034643,38027.718796344445,3291.245305998018,32
split_oldest,2,60823.09102439992,60823.09102439992,64114.336330397935,3291.245305998018,32
split_oldest,3,79707.7156812573,79707.7156812573,83135.42740928625,3427.711728028953,32
split_oldest,4,81526.6654864098,81539.36524285619,84967.07697088514,3440.4114844753494,32
split_oldest,5,88175.00606283615,88175.00606283615,93566.19016413065,5391.184101294493,32
split_oldest,6,90579.77642216215,90636.28516123467,101592.90371965803,11013.127297495885,256
split_oldest,7,95705.38591705072,95738.54064202355,104365.99549987772,8660.609582827004,32
split_oldest,8,96309.63345966798,96344.72788400203,104553.76751945773,8244.13405978975,32
split_oldest,9,101073.44257280664,101115.25076688454,105870.26564185694,4796.823069050297,32
split_oldest,10,143278.53841191067,143278.53841191067,146588.5144032855,3309.975991374813,32
split_oldest,11,146360.14928751826,146369.4470471088,149679.42303848363,3319.273750965367,32
split_oldest,12,161688.18714353463,161688.18714353463,164979.43244953264,3291.245305998018,32
split_oldest,13,167758.03551706072,167758.03551706072,171049.28082305874,3291.245305998018,32
split_oldest,14,173257.2953825069,173257.2953825069,176548.54068850493,3291.245305998018,32
split_oldest,15,204796.9911724894,204796.9911724894,208088.2364784874,3291.245305998018,32
